"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","전남광주통합특별시 북구 용봉동","1**","8m미만","35.00","월세","202512","31","200","47","2018","면앙로6번길","202601~202701","신규","-","","","단독다가구"
"2","전남광주통합특별시 북구 운암동","8**","12m미만","98.01","월세","202512","31","200","40","2011","동운로201번길","202601~202606","신규","-","","","단독다가구"
"3","전남광주통합특별시 무안군 청계면 도림리","2**","8m미만","26.40","월세","202512","31","30","32","2014","승달산길","202601~202701","신규","-","","","단독다가구"
"4","전남광주통합특별시 북구 용봉동","1***","12m미만","22.45","월세","202512","31","200","40","","설죽로214번길","202512~202612","신규","-","","","단독다가구"
"5","전남광주통합특별시 광산구 월계동","8**","12m미만","19.83","월세","202512","31","200","30","2005","산월로41번길","202601~202612","신규","-","","","단독다가구"
"6","전남광주통합특별시 북구 용봉동","1***","12m미만","22.72","월세","202512","31","300","36","2022","저불로70번길","202512~202612","신규","-","","","단독다가구"
"7","전남광주통합특별시 북구 용봉동","1***","12m미만","21.94","월세","202512","31","300","62","2022","용주로30번길","202601~202701","신규","-","","","단독다가구"
"8","전남광주통합특별시 북구 용봉동","6**","8m미만","15.03","월세","202512","31","200","29","2020","설죽로148번길","202601~202701","신규","-","","","단독다가구"
"9","전남광주통합특별시 광산구 월계동","7**","12m미만","23.59","월세","202512","31","300","53","2022","월계로34번길","202601~202701","신규","-","","","단독다가구"
"10","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","23.07","월세","202512","31","0","55","2023","송산2길","202601~202701","신규","-","","","단독다가구"
